site,country,lat,lon,coord_source,coord_status,processing_state,feed_class,commodity,status,tonnage_mt,tonnage_status,tonnage_src,notes,track
Jeffrey Mine (Val-des-Sources),Canada,45.77,-71.945,"Val-des-Sources pit, approximate (MRDS point 7 km west rejected)",verified-footprint (SIGEOM) pending recheck,tailings,serp_partial,chrysotile,closed 2012,,unknown,,"Frontier Quebec hub; regional total 800 Mt (BAPE 2020) uncited and includes Nunavik | Frontier overview: 'Jeffrey Mine ~300-500 Mt CDR' (units ambiguous) | 'Asbestos' residue brucite 6.44 wt% <75um (Assima 2013, thesis-verified)",A: existing tailings
Black Lake pile (Thetford Mines),Canada,46.0167,-71.3827,MRDS dep 295667,verified-footprint 0 km (SIGEOM mantle peridotite),tailings,serp_lizardite,chrysotile,closed,110.0,verified,Nowamooz et al. 2018 10.1021/acs.est.8b01128,"passive ~100 tCO2/yr; capacity 3 Mt | brucite 2.94 wt% (Assima 2012, thesis-verified); <75um 3.91",A: existing tailings
Thetford Mines district (all piles),Canada,46.05,-71.3,town centroid,approximate,tailings,serp_lizardite,chrysotile,closed,,unknown,BAPE 2020 (800 Mt regional incl. Asbestos + Nunavik),district aggregate; brucite wt% UNVERIFIED (Assima 2012/2013) | Frontier overview: 'Thetford Mines ~700 Mt CDR' (units ambiguous),A: existing tailings
Asbestos Hill (Purtuniq),Canada,61.8102,-73.9593,MRDS dep 115189,verified-footprint 0 km (SIGEOM),tailings,serp_lizardite,chrysotile,closed 1984,,unknown,,Nunavik; 917 km from nearest GRIP4 road,A: existing tailings
Baie Verte (Advocate),Canada,49.9832,-56.1822,MRDS dep 224448,verified-footprint 2.9 km,tailings,serp_lizardite,chrysotile,closed,47.0,verified-inconsistent,AMEC 2005 Phase I ESA (47 vs 'over 40'),190 Mt waste rock in addition | Frontier overview: '~20+ Mt CDR',A: existing tailings
Cassiar,Canada,59.3331,-129.8186,MRDS dep 155643,verified-footprint 0 km,tailings,serp_lizardite,chrysotile,closed 1992,17.0,verified,Wilson et al. 2009 10.2113/gsecongeo.104.1.95,carbonate <1 wt%,A: existing tailings
Clinton Creek,Canada,64.3448,-140.6696,MRDS dep 272197,verified-footprint 0.4 km,tailings,serp_lizardite,chrysotile,closed 1978,10.0,verified,Wilson et al. 2009,~6300 tCO2/yr passive over 26 yr,A: existing tailings
New Idria,United States,36.4011,-120.7288,MRDS dep 78557,verified-footprint 0 km,tailings,serp_partial,chrysotile,Superfund,,unknown,EPA 2016 (Atlas OU 3 Mcy only),fresh serpentinite 7-8 wt% brucite (Mumpton & Thompson 1966) | Frontier overview: 'KCAC/New Idria ~10-30 Mt CDR',A: existing tailings
Atlas / Coalinga asbestos,United States,36.3213,-120.5871,MRDS dep 78470,verified-footprint 0 km,tailings,serp_partial,chrysotile,Superfund,,partial,EPA/USACE 2016 Five-Year Review: ~3 million cubic yards (Atlas OU),volume not mass,A: existing tailings
Lowell / Belvidere (VAG),United States,44.7667,-72.5262,MRDS dep 79705,verified-footprint 0 km,tailings,serp_lizardite,chrysotile,closed 1993,45.0,one-remove,Van Baalen et al. 2009 citing EPA 2009a: Lowell 30-60 Mt + Eden 12 Mt,Frontier overview: 'Belvidere ~10 Mt CDR',A: existing tailings
Woodsreef,Australia,-30.4,150.72,literature (Barraba NSW),"verified-footprint 0.3 km (GA 1:1M Woodsreef Melange); MRDS value 95 km off, rejected",tailings,serp_lizardite,chrysotile,closed 1983,25.0,verified,NSW DPE 2018 fact sheet,plus 75 Mt waste rock; passive 229-405 g CO2/m2/yr (Turvey 2018) | 33-yr passive uptake 17.6 g CO2/kg = 0.0176 t/t (Hamilton thesis),A: existing tailings
Mount Keith,Australia,-27.2134,120.5518,Wikidata Q14935869,verified-footprint 5.9 km (GA 1:1M ultramafic intrusive),tailings,serp_partial,nickel,active,,unknown,,39800 tCO2/yr passive (Wilson 2014); brucite 2.5 wt% at depth; throughput divisor UNVERIFIED | brucite 1.0-2.5 wt%; 11 Mt/yr tailings; 3.6 kg CO2/t/yr (Wilson 2014 manuscript),A: existing tailings
Shabanie (Zvishavane),Zimbabwe,-20.297,30.135,MRDS dep 154739,UNVERIFIED (no footprint coverage),tailings,serp_lizardite,chrysotile,closed 2004,,see combined,Runganga 2024: Shabanie+Gaths >143 Mt combined (approximate),MgO ~40.3%,A: existing tailings
Gaths (Mashava),Zimbabwe,-20.0167,30.5167,Wikidata Q5527401,UNVERIFIED (no footprint coverage),tailings,serp_lizardite,chrysotile,closed,143.0,approximate,Runganga 2024 10.56532/mjsat.v4i1.159 (combined with Shabanie),,A: existing tailings
Havelock / Bulembu,Eswatini,-25.93,31.135,MRDS dep 297277,UNVERIFIED,tailings,serp_lizardite,chrysotile,closed 2001,50.0,verified,Gan et al. 2022 10.17159/2411-9717/1612/2022 (ore mined and milled; most in TSFs),,A: existing tailings
Msauli,South Africa,-25.897,31.085,MRDS dep 202470,UNVERIFIED,tailings,serp_lizardite,chrysotile,closed,,unknown,,Barberton belt,A: existing tailings
Cana Brava (SAMA),Brazil,-13.198,-48.149,MRDS dep 67434,"verified-footprint 2.0 km (SGB 1:1M Canabrava complex; licence unresolved, local check only)",tailings,serp_lizardite,chrysotile,active (export),,unknown,DNPM 2001 reserve 287 Mt @ 6.03% fibre; 2006: 3.5 Mt ore + 5.1 Mt waste,cumulative tailings NOT FOUND,A: existing tailings
Bazhenovskoye (Uralasbest),Russia,57.0,61.5,approximate (Asbest town),UNVERIFIED,tailings,serp_antigorite,chrysotile,active,,unknown,trade press reserve 3380 Mt ore (UNVERIFIED),world's largest chrysotile operation; polymorph class to confirm,A: existing tailings
Dzhetygara (Zhitikara),Kazakhstan,52.198,61.218,MRDS dep 248874,UNVERIFIED,tailings,serp_lizardite,chrysotile,active,,unknown,,Kostanay Minerals,A: existing tailings
Balangero,Italy,45.28,7.52,literature (Lanzo valleys),UNVERIFIED (MRDS entries inconsistent),tailings,serp_antigorite,chrysotile,closed 1990,,unknown,,polymorph class to confirm,A: existing tailings
Amiantos,Cyprus,34.928,32.918,MRDS dep 249358,verified-footprint 0 km,tailings,serp_lizardite,chrysotile,closed 1988,,unknown,,Troodos,A: existing tailings
