site,country,track,feed_class,mode,scenario,gross_t_per_t_p50,gross_p10,gross_p90,net_t_per_t_p50,share_not_viable,cost_usd_per_tco2_p50,cost_p10,cost_p90,removal_Mt_p50,t_air_c,precip_mm,moisture_factor,slope_deg,road_km,grid_gco2_kwh,grid_src,elec_usd_per_mwh,elec_src
Jeffrey Mine (Val-des-Sources),Canada,A: existing tailings,serp_partial,passive_pile,FOAK,0.02317337219385964,0.01338875770890811,0.035524724552351096,0.02317337219385964,0.0,985.4912956942185,556.5067419679443,1905.708754481027,,5.9,1248,1.0,5.8,1.0,1,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Black Lake pile (Thetford Mines),Canada,A: existing tailings,serp_lizardite,passive_pile,FOAK,0.014399712987562006,0.007043303298579949,0.025504474644139817,0.014399712987562006,0.0,1564.9269275959823,811.1820983955004,3524.8769876093143,1.5839684286318207,5.0,1284,1.0,5.0,1.4,1,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Thetford Mines district (all piles),Canada,A: existing tailings,serp_lizardite,passive_pile,FOAK,0.01406465563242482,0.006640514863213415,0.025289496277977865,0.01406465563242482,0.0,1631.6466821667143,796.511453908348,3639.404751312201,,4.2,1385,1.0,1.0,1.3,1,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Asbestos Hill (Purtuniq),Canada,A: existing tailings,serp_lizardite,passive_pile,FOAK,0.006015999200897085,0.0026576190016453674,0.011858111830035666,0.006015999200897085,0.0,3926.402967666366,1831.574266838316,9608.420834009108,,-10.3,760,1.0,2.0,916.8,750,Nunavik off-grid diesel: judgement: isolated diesel generation; no grid connection,,tier default range
Baie Verte (Advocate),Canada,A: existing tailings,serp_lizardite,passive_pile,FOAK,0.013119329256161737,0.006164704661308713,0.023838961005176903,0.013119329256161737,0.0,1735.6787409240474,872.4494342400214,3924.439386405372,0.6166084750396016,3.0,1382,1.0,1.5,0.9,191,Ember latest year,,tier default range
Cassiar,Canada,A: existing tailings,serp_lizardite,passive_pile,FOAK,0.0077879186319530554,0.003451351070218517,0.014794520364095674,0.0077879186319530554,0.0,3087.0750388422634,1441.2737916652766,7591.869352970619,0.13239461674320194,-6.7,1180,1.0,7.5,11.7,191,Ember latest year,,tier default range
Clinton Creek,Canada,A: existing tailings,serp_lizardite,passive_pile,FOAK,0.009358973383090972,0.004136019758137526,0.017451279736363838,0.009358973383090972,0.0,2518.4724825168296,1208.8836128555422,6089.580319639873,0.09358973383090971,-3.7,467,1.0,3.8,20.0,191,Ember latest year,,tier default range
New Idria,United States,A: existing tailings,serp_partial,passive_pile,FOAK,0.02830127214954979,0.017690009282645323,0.04282293982710786,0.02830127214954979,0.0,771.4248033210536,437.1977384072924,1352.543895884448,,13.8,371,1.0,7.8,1.8,185,"California: WSP option analysis, Carbon Intensity.docx: ~0.15-0.22 kg/kWh",,tier default range
Atlas / Coalinga asbestos,United States,A: existing tailings,serp_partial,passive_pile,FOAK,0.027642159006581676,0.016879190506878035,0.04124538290025733,0.027642159006581676,0.0,787.4735867700772,458.94206761140305,1421.4184100424277,,12.3,386,1.0,9.0,6.2,185,"California: WSP option analysis, Carbon Intensity.docx: ~0.15-0.22 kg/kWh",,tier default range
Lowell / Belvidere (VAG),United States,A: existing tailings,serp_lizardite,passive_pile,FOAK,0.013953821081518445,0.006829208278568141,0.02401787678293323,0.013953821081518445,0.0,1644.6184153726783,846.237516855881,3576.1422567392433,0.6279219486683301,4.9,1749,1.0,6.8,3.8,230,Vermont / New England (ISO-NE): judgement placeholder: ISO-NE marginal ~0.2-0.3 kg/kWh; replace with eGRID NEWE,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
