site,country,lat,lon,coord_source,coord_status,processing_state,feed_class,commodity,status,tonnage_mt,tonnage_status,tonnage_src,notes,track,t_air_c,t_season_c,precip_mm,slope_deg,road_km,iso3,grid_gco2_kwh,grid_src,elec_usd_per_mwh,elec_src
Jeffrey Mine (Val-des-Sources),Canada,45.77,-71.945,"Val-des-Sources pit, approximate (MRDS point 7 km west rejected)",verified-footprint (SIGEOM) pending recheck,tailings,serp_partial,chrysotile,closed 2012,,unknown,,"Frontier Quebec hub; regional total 800 Mt (BAPE 2020) uncited and includes Nunavik | Frontier overview: 'Jeffrey Mine ~300-500 Mt CDR' (units ambiguous) | 'Asbestos' residue brucite 6.44 wt% <75um (Assima 2013, thesis-verified)",A: existing tailings,5.850000000000023,103.88,1247.8000000000002,5.75,0.954283773466375,CAN,1.2,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Black Lake pile (Thetford Mines),Canada,46.0167,-71.3827,MRDS dep 295667,verified-footprint 0 km (SIGEOM mantle peridotite),tailings,serp_lizardite,chrysotile,closed,110.0,verified,Nowamooz et al. 2018 10.1021/acs.est.8b01128,"passive ~100 tCO2/yr; capacity 3 Mt | brucite 2.94 wt% (Assima 2012, thesis-verified); <75um 3.91",A: existing tailings,4.9500000000000455,104.91,1283.7,5.0,1.3798120148163366,CAN,1.2,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Thetford Mines district (all piles),Canada,46.05,-71.3,town centroid,approximate,tailings,serp_lizardite,chrysotile,closed,,unknown,BAPE 2020 (800 Mt regional incl. Asbestos + Nunavik),district aggregate; brucite wt% UNVERIFIED (Assima 2012/2013) | Frontier overview: 'Thetford Mines ~700 Mt CDR' (units ambiguous),A: existing tailings,4.150000000000034,102.21000000000001,1384.6000000000001,1.0,1.2841359943190678,CAN,1.2,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Asbestos Hill (Purtuniq),Canada,61.8102,-73.9593,MRDS dep 115189,verified-footprint 0 km (SIGEOM),tailings,serp_lizardite,chrysotile,closed 1984,,unknown,,Nunavik; 917 km from nearest GRIP4 road,A: existing tailings,-10.349999999999966,130.3,759.6,2.0,916.8284077277582,CAN,750.0,Nunavik off-grid diesel: judgement: isolated diesel generation; no grid connection,,tier default range
Baie Verte (Advocate),Canada,49.9832,-56.1822,MRDS dep 224448,verified-footprint 2.9 km,tailings,serp_lizardite,chrysotile,closed,47.0,verified-inconsistent,AMEC 2005 Phase I ESA (47 vs 'over 40'),190 Mt waste rock in addition | Frontier overview: '~20+ Mt CDR',A: existing tailings,2.9500000000000455,77.8,1382.4,1.5,0.9335230343789145,CAN,190.73,Ember latest year,,tier default range
Cassiar,Canada,59.3331,-129.8186,MRDS dep 155643,verified-footprint 0 km,tailings,serp_lizardite,chrysotile,closed 1992,17.0,verified,Wilson et al. 2009 10.2113/gsecongeo.104.1.95,carbonate <1 wt%,A: existing tailings,-6.749999999999943,104.66,1179.7,7.5,11.681774010267825,CAN,190.73,Ember latest year,,tier default range
Clinton Creek,Canada,64.3448,-140.6696,MRDS dep 272197,verified-footprint 0.4 km,tailings,serp_lizardite,chrysotile,closed 1978,10.0,verified,Wilson et al. 2009,~6300 tCO2/yr passive over 26 yr,A: existing tailings,-3.749999999999943,144.81,466.8,3.75,19.96843088421721,CAN,190.73,Ember latest year,,tier default range
New Idria,United States,36.4011,-120.7288,MRDS dep 78557,verified-footprint 0 km,tailings,serp_partial,chrysotile,Superfund,,unknown,EPA 2016 (Atlas OU 3 Mcy only),fresh serpentinite 7-8 wt% brucite (Mumpton & Thompson 1966) | Frontier overview: 'KCAC/New Idria ~10-30 Mt CDR',A: existing tailings,13.750000000000057,58.51,371.1,7.75,1.8222654536935117,USA,185.0,"California: WSP option analysis, Carbon Intensity.docx: ~0.15-0.22 kg/kWh",,tier default range
Atlas / Coalinga asbestos,United States,36.3213,-120.5871,MRDS dep 78470,verified-footprint 0 km,tailings,serp_partial,chrysotile,Superfund,,partial,EPA/USACE 2016 Five-Year Review: ~3 million cubic yards (Atlas OU),volume not mass,A: existing tailings,12.250000000000057,56.45,386.5,9.0,6.167781420211136,USA,185.0,"California: WSP option analysis, Carbon Intensity.docx: ~0.15-0.22 kg/kWh",,tier default range
Lowell / Belvidere (VAG),United States,44.7667,-72.5262,MRDS dep 79705,verified-footprint 0 km,tailings,serp_lizardite,chrysotile,closed 1993,45.0,one-remove,Van Baalen et al. 2009 citing EPA 2009a: Lowell 30-60 Mt + Eden 12 Mt,Frontier overview: 'Belvidere ~10 Mt CDR',A: existing tailings,4.850000000000023,98.87,1749.3000000000002,6.75,3.8247663168237374,USA,230.0,Vermont / New England (ISO-NE): judgement placeholder: ISO-NE marginal ~0.2-0.3 kg/kWh; replace with eGRID NEWE,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
